28.689519,77.324495
28.689431,77.324347
28.689316,77.324165
28.689285,77,324062
28.689218,77.323948
28.689343,77.383858
28.689431,77.323807
28.689567,77.323717
28.689672,77.323629
28.689617,77.323473
28.689572,77.323362
28.689498,77.323241
28.689436,77.323131
28.689390,77.323028
28.689329,77.322900
28.689219,77.322946
28.689081,77.323049
28.688973,77.323116
28.688872,77.323185
28.688764,77.323265
28.688674,77.323324
28.688590,77.323375
28.688505,77.323431
28.688419,77.323490
28.688317,77.323556
28.688229,77.323627
28.688152,77.323677
28.688047,77.323755
28.687916,77.323834
28.687790,77.323918
